"invoice_id","branch_name","purchase_date","purchase_time","product_line","unit_price","quantity","tax_amount","customer_type","customer_gender","payment_method"
"amm001","Amman",2023-10-15,"17:33:09","Home and lifestyle",88.8866533804685,1,14.221864540875,"customer","male","clique"
"amm002","Amman",2022-09-05,"07:31:06","Health and beauty",14.7778448532335,2,4.72891035303473,"customer","female","visa"
"amm003","Amman",2015-08-28,"07:58:57","Home and lifestyle",56.6862723475788,2,18.1396071512252,"one-time-buyer","male","clique"
"amm004","Amman",2024-06-23,"20:57:34","Home and lifestyle",25.5587539041881,2,8.17880124934018,"customer","female","visa"
"amm005","Amman",2024-03-26,"06:58:17","Electronic accessories",30.2674008347094,1,4.84278413355351,"customer","male","clique"
"amm006","Amman",2024-10-02,"17:03:21","Electronic accessories",40.5739637091756,1,6.49183419346809,"customer","female","visa"
"amm007","Amman",2021-10-17,"22:26:18","Health and beauty",76.675140070729,4,49.0720896452665,"customer","female","clique"
"amm008","Amman",2023-09-01,"20:10:00","Home and lifestyle",79.8786042327993,3,38.3417300317436,"one-time-buyer","male","Visa"
"amm009","Amman",2019-05-06,"09:12:15","Electronic accessories",35.4354580363724,5,28.348366429098,"customer","female","clique"
"amm010","Amman",2022-12-15,"09:11:25","Sports and travel",89.5832711015828,4,57.333293505013,"customer","male","CliQ"
"amm011","Amman",2016-09-20,"17:43:02","Fashion accessories",57.1820423263125,3,27.44738031663,"one-time-buyer","male","Cash"
"amm012","Amman",2023-12-26,"05:45:35","Fashion accessories",13.6491799890064,4,8.73547519296408,"customer","male","clique"
"amm013","Amman",2018-10-27,"23:00:56","Electronic accessories",98.0830821499694,2,31.3865862879902,"customer","female","clique"
"amm014","Amman",2023-01-28,"23:48:52","Fashion accessories",74.5528445253149,3,35.7853653721511,"customer","female","visa"
"amm015","Amman",2023-06-12,"08:10:03","Electronic accessories",66.7485900875181,2,21.3595488280058,"one-time-buyer","male","visa"
"amm016","Amman",2019-03-09,"02:20:15","Food and beverages",63.7116979598068,3,30.5816150207073,"customer","female","visa"
"amm017","Amman",2019-06-25,"16:05:54","Electronic accessories",58.6360913037788,6,56.2906476516277,"customer","female","clique"
"amm018","Amman",2022-05-29,"11:51:12","Sports and travel",19.472928600153,2,6.23133715204895,"one-time-buyer","male","CliQ"
"amm019","Amman",2024-03-04,"00:21:23","Home and lifestyle",25.5442050134297,1,4.08707280214876,"one-time-buyer","female","visa"
"amm020","Amman",2023-12-17,"19:16:39","Electronic accessories",70.2056327904575,2,22.4658024929464,"one-time-buyer","female","visa"
"amm021","Amman",2022-07-17,"20:37:25","Health and beauty",29.7814014204778,1,4.76502422727644,"one-time-buyer","female","visa"
"amm022","Amman",2019-04-24,"19:58:44","Food and beverages",42.8992833429947,7,48.0471973441541,"one-time-buyer","female","CliQ"
"amm023","Amman",2022-10-14,"15:09:17","Electronic accessories",87.4701466539409,5,69.9761173231527,"one-time-buyer","male","clique"
"amm024","Amman",2023-01-08,"07:24:46","Sports and travel",87.7491242962424,1,14.0398598873988,"customer","male","visa"
"amm025","Amman",2019-10-04,"21:16:33","Electronic accessories",42.6755364891142,1,6.82808583825827,"customer","female","visa"
"amm026","Amman",2024-01-27,"07:36:20","Health and beauty",76.6535031970125,7,85.851923580654,"one-time-buyer","female","CliQ"
"amm027","Amman",2021-09-24,"05:27:42","Health and beauty",50.6865288468543,1,8.10984461549669,"one-time-buyer","female","visa"
"amm028","Amman",2023-10-21,"00:38:07","Electronic accessories",27.5861934723798,5,22.0689547779039,"customer","female","clique"
"amm029","Amman",2024-12-31,"18:46:08","Fashion accessories",37.1471719571855,4,23.7741900525987,"one-time-buyer","male","visa"
"amm030","Amman",2018-08-23,"03:12:36","Health and beauty",97.8960734582506,1,15.6633717533201,"customer","female","visa"
"amm031","Amman",2023-08-16,"12:05:10","Food and beverages",96.9096019607969,1,15.5055363137275,"one-time-buyer","male","visa"
"amm032","Amman",2020-02-22,"15:17:19","Food and beverages",90.1901748508681,2,28.8608559522778,"customer","female","visa"
"amm033","Amman",2022-05-06,"03:00:18","Electronic accessories",48.2352648407687,7,54.0234966216609,"customer","female","visa"
